net,length_um
_08799_,259.24
_13717_,259.08
_09555_,259.06
_11724_,259.03
_14424_,258.94
_08780_,258.14
_09410_,258.12
clknet_5_23__leaf_clk,257.86
rvcpu.dp.plem.ALUResultM\[1\],257.66
_08811_,257.63
_11976_,257.62
_09552_,257.54
_13304_,257.31
_08547_,256.94
_10918_,256.78
_09601_,256.52
rvcpu.dp.plem.ALUResultM\[22\],256.5
_13193_,256
rvcpu.dp.plem.ALUResultM\[13\],255.37
_11681_,255.28
_09445_,254.69
_13298_,254.59
_08514_,254.58
_10501_,254.42
_09430_,254.35
_11898_,254.33
_13419_,254.315
_09361_,253.82
net42,253.82
_09111_,253.38
_13573_,253.03
_12081_,252.955
_09690_,252.91
_12043_,252.5
_13301_,252.49
_12168_,251.76
net85,251.66
net3,251.3
_09994_,251.26
_12641_,251.16
_09593_,250.68
_08813_,250.46
_10052_,249.785
_12528_,249.52
_12850_,249.5
rvcpu.dp.plem.ALUResultM\[0\],249.3
_13389_,248.83
_08762_,248.82
rvcpu.dp.plfd.InstrD\[18\],248.68
_09560_,248.62
_04949_,248.33
_13412_,247.95
_10328_,247.9
_11687_,247.24
_08558_,247.11
_10394_,246.98
net17,246.96
clknet_5_27__leaf_clk,246.885
net64,246.7
_10413_,246.63
_11153_,246.54
net59,246.32
_12823_,246.08
_09472_,246.07
clknet_1_1__leaf__10079_,245.99
_10998_,245.76
_13410_,245.5
_12796_,245.43
_08934_,245.22
net63,244.2
_13391_,243.98
_05140_,243.58
clknet_1_0__leaf__10084_,243.39
_12583_,243.1
_12482_,243.06
_04670_,243
clknet_5_13__leaf_clk,242.91
_13357_,242.48
_05809_,242.37
clknet_1_0__leaf__10205_,242.25
_12336_,242.2
_12097_,242.1
_11714_,242.01
_08817_,241.95
_08742_,241.71
_14322_,241.65
_04829_,241.35
_11143_,241.26
_07920_,241.18
_13355_,240.77
_04876_,240.32
_10828_,240.14
_09972_,240.02
_08810_,239.79
_08692_,239.64
_13505_,239.53
_11030_,239.35
net60,238.8
_13671_,238.78
net98,238.68
_12632_,238.66
_10093_,238.64
rvcpu.dp.plem.ALUResultM\[14\],238.56
_14128_,238.54
_13324_,238.39
net88,238.37
_13581_,238.08
rvcpu.dp.plde.ImmExtE\[18\],238.04
_13150_,237.72
_09604_,237.62
_12877_,237.59
_10390_,237.26
_14197_,237.08
_09627_,236.96
_08700_,236.88
clknet_5_28__leaf_clk,236.62
_12669_,236.48
_10012_,236.1
_13369_,235.93
_13067_,235.7
_13510_,235.59
